Id,SalePrice
1461,112655.8582
1462,159610.7476
1463,186562.6813
1464,197059.1192
1465,205490.6102
1466,170174.348
1467,174935.3077
1468,156524.6726
1469,212561.1401
1470,114947.2331
1471,154587.5235
1472,97676.07327
1473,93012.86646
1474,146087.7088
1475,106166.2228
1476,375904.6451
1477,262246.9842
1478,312003.82
1479,303997.5448
1480,485169.0255
1481,309643.2144
1482,204438.479
1483,176900.3511
1484,161547.318
1485,178152.9118
1486,188161.9348
1487,335375.1806
1488,219584.9808
1489,203156.4774
1490,256155.2809
1491,201367.4218
1492,103263.9294
1493,185819.6207
1494,304828.568
1495,288801.0195
1496,243487.1233
1497,175269.6602
1498,175402.9675
1499,162478.0136
1500,149010.6292
1501,195834.6148
1502,133139.092
1503,356273.5061
1504,233110.4884
1505,224192.5022
1506,192216.7892
1507,257747.7616
1508,196137.7325
1509,154346.6766
1510,143512.9705
1511,160711.7921
1512,175352.9655
1513,150814.8951
1514,169969.054
1515,207095.9286
1516,152588.3823
1517,183213.6148
1518,121658.1588
1519,221300.5143
1520,118491.034
1521,134224.4415
1522,188258.4978
1523,111873.5437
1524,123656.4872
1525,116082.8489
1526,103867.949
1527,101552.2967
1528,130262.9124
1529,161124.2686
1530,211513.4893
1531,129996.2478
1532,92669.40622
1533,166985.9377
1534,127018.3307
1535,151348.4997
1536,92576.82666
1537,46756.6312
1538,151328.3785
1539,205578.0384
1540,119156.3643
1541,141862.2301
1542,166681.7239
1543,188564.2916
1544,75199.08302
1545,120213.7855
1546,137363.2577
1547,136661.888
1548,151445.6737
1549,126185.4732
1550,143683.8044
1551,104472.1066
1552,153805.2875
1553,157699.2522
1554,113624.5863
1555,157701.433
1556,51976.75619
1557,140785.9091
1558,107302.1036
1559,61665.32955
1560,116759.41
1561,150190.3301
1562,131427.1686
1563,128581.0118
1564,162563.7994
1565,158078.5391
1566,228005.3502
1567,72440.53655
1568,220305.0544
1569,136579.9526
1570,124987.9888
1571,81404.69495
1572,150729.3196
1573,267288.7894
1574,136080.635
1575,232339.0967
1576,230520.4807
1577,181837.1464
1578,157746.3212
1579,134037.2222
1580,189631.696
1581,152234.0463
1582,134105.1055
1583,281816.9591
1584,220030.3038
1585,134123.128
1586,81749.29934
1587,104573.088
1588,152205.9012
1589,105726.56
1590,122973.9867
1591,89244.75431
1592,126886.4582
1593,128395.2062
1594,146895.5085
1595,117288.3381
1596,230718.2303
1597,210832.7685
1598,213489.0825
1599,193475.5805
1600,171483.9511
1601,51444.48511
1602,128819.5735
1603,37618.59413
1604,272067.8741
1605,224245.9124
1606,148803.6448
1607,167637.79
1608,200463.7382
1609,190426.3655
1610,151119.704
1611,127167.5086
1612,186931.1859
1613,164062.3624
1614,137110.3422
1615,95617.03001
1616,72025.52098
1617,84169.74139
1618,134873.4717
1619,143636.6723
1620,190177.9674
1621,130410.7837
